e,Diver,Buddy,Site No.,Site Name,Latitude,Longitude,Date,vis,Direction,Time,P-Qs,Depth,Method,Block,Code,Species,Common name,Total,Inverts,2.5,5,7.5,10,12.5,15,20,25,30,35,40,50,62.5,75,87.5,100,112.5,125,137.5,150,162.5,175,187.5,200,250,300,350,400,,,,,,,,,,,,,,,,,,,,
1523,Tom Bird,Jasmin Schuster,BMSC12,Wizard Island North,48.85828,-125.16092,16/04/2026,1.5,NE,11:50,JMS,5.5,2,1,phel,Pycnopodia helianthoides,Sunflower star,1,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1524,Tom Bird,Jasmin Schuster,BMSC12,Wizard Island North,48.85828,-125.16092,16/04/2026,1.5,NE,11:50,JMS,5.5,2,1,poc,Pisaster ochraceus,Purple sea star,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1525,Tom Bird,Jasmin Schuster,BMSC11,Wizard Island South,48.85747,-125.15823,16/04/2026,2,SW,9:33,TB,7,1,2,hde,Hexagrammos decagrammus,Kelp greenling,1,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1526,Tom Bird,Jasmin Schuster,BMSC11,Wizard Island South,48.85747,-125.15823,16/04/2026,2,SW,9:33,TB,7,1,2,rni,Rhinogobiops nicholsii,Blackeye goby,3,0,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1527,Tom Bird,Jasmin Schuster,BMSC11,Wizard Island South,48.85747,-125.15823,16/04/2026,2,SW,9:33,TB,7,2,2,mfr,Mesocentrotus franciscanus,Red sea urchin,345,345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1528,Tom Bird,Jasmin Schuster,BMSC11,Wizard Island South,48.85747,-125.15823,16/04/2026,2,SW,9:33,TB,7,2,2,rni,Rhinogobiops nicholsii,Blackeye goby,33,0,,11,16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1529,Tom Bird,Jasmin Schuster,BMSC11,Wizard Island South,48.85747,-125.15823,16/04/2026,2,SW,9:33,TB,7,2,2,oko,Orthasterias koehleri,Rainbow star,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1530,Tom Bird,Jasmin Schuster,BMSC11,Wizard Island South,48.85747,-125.15823,16/04/2026,2,SW,9:33,TB,7,2,2,acal,Apostichopus californicus,Californian sea cucumber,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1531,Tom Bird,Jasmin Schuster,BMSC11,Wizard Island South,48.85747,-125.15823,16/04/2026,2,SW,9:33,TB,7,2,2,pgi,Pomaulax gibberosus,Red turban shell,45,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1532,Tom Bird,Jasmin Schuster,BMSC11,Wizard Island South,48.85747,-125.15823,16/04/2026,2,SW,9:33,TB,7,2,2,gor,Glebocarcinus oregonensis,Pygmy rock crab,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1533,Tom Bird,Jasmin Schuster,BMSC11,Wizard Island South,48.85747,-125.15823,16/04/2026,2,SW,9:33,TB,7,2,2,prud,Pachycheles rudis,Thickclaw porcelain crab,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1534,Tom Bird,Jasmin Schuster,BMSC11,Wizard Island South,48.85747,-125.15823,16/04/2026,2,SW,9:33,TB,7,2,2,hcr,Hermissenda crassicornis,Opalescent nudibranch,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1535,Tom Bird,Jasmin Schuster,BMSC11,Wizard Island South,48.85747,-125.15823,16/04/2026,2,SW,9:33,TB,7,2,2,henricia,Henricia spp.,Unidentified blood star,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536,Tom Bird,Jasmin Schuster,BMSC11,Wizard Island South,48.85747,-125.15823,16/04/2026,2,SW,9:33,TB,7,2,2,dim,Dermasterias imbricata,Leather star,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1537,Tom Bird,Jasmin Schuster,BMSC11,Wizard Island South,48.85747,-125.15823,16/04/2026,2,SW,9:33,TB,7,2,2,hka,Haliotis kamtschatkana,Pinto abalone,19,0,,4,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1538,Tom Bird,Jasmin Schuster,BMSC11,Wizard Island South,48.85747,-125.15823,16/04/2026,2,SW,9:33,TB,7,2,2,sac,Scyra acutifrons,Sharpnose crab,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1539,Tom Bird,Jasmin Schuster,BMSC11,Wizard Island South,48.85747,-125.15823,16/04/2026,2,SW,9:33,TB,7,2,2,cgi,Crassadoma gigantea,Purple-hinged rock scallop,12,0,,3,5,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1540,Tom Bird,Jasmin Schuster,BMSC11,Wizard Island South,48.85747,-125.15823,16/04/2026,2,SW,9:33,TB,7,2,2,cfo,Ceratostoma foliatum,Leafy hornmouth,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1541,Tom Bird,Jasmin Schuster,BMSC11,Wizard Island South,48.85747,-125.15823,16/04/2026,2,SW,9:33,TB,7,2,2,phe,Pagurus hemphilli,Maroon hermit,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1542,Tom Bird,Jasmin Schuster,BMSC11,Wizard Island South,48.85747,-125.15823,16/04/2026,2,SW,9:33,TB,7,2,2,ami,Acmaea mitra,Whitecap limpet,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1543,Tom Bird,Jasmin Schuster,BMSC11,Wizard Island South,48.85747,-125.15823,16/04/2026,2,SW,9:33,TB,7,2,2,cadlina,Cadlina spp.,Unidentified yellow rimmed,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1544,Tom Bird,Jasmin Schuster,BMSC11,Wizard Island South,48.85747,-125.15823,16/04/2026,2,SW,9:33,TB,7,2,2,dal,Dirona albolineata,White-line dirona,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1545,Tom Bird,Jasmin Schuster,BMSC11,Wizard Island South,48.85747,-125.15823,16/04/2026,2,SW,9:33,TB,7,2,2,pmi,Patiria miniata,Bat star,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1546,Tom Bird,Jasmin Schuster,BMSC11,Wizard Island South,48.85747,-125.15823,16/04/2026,2,SW,9:33,TB,7,2,2,sfo,Stylasterias forreri,Velcro seastar,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1547,Tom Bird,Jasmin Schuster,BMSC11,Wizard Island South,48.85747,-125.15823,16/04/2026,2,SW,9:33,TB,7,2,2,cpr,Cancer productus,Red rock crab,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1548,Tom Bird,Jasmin Schuster,BMSC11,Wizard Island South,48.85747,-125.15823,16/04/2026,2,SW,9:33,TB,7,0,2,sebastes,Sebastes spp.,,1,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1549,Tom Bird,Jasmin Schuster,BMSC11,Wizard Island South,48.85747,-125.15823,16/04/2026,2,SW,9:33,TB,7,2,2,ppu,Pachycheles pubescens,Porcelain crab,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1550,Tom Bird,Carter Burtlake,BMSC8,Baeria Rocks North Island Northside,48.95508,-125.15337,17/04/2026,3,SE,12:35,TB,9,2,2,pgi,Pomaulax gibberosus,Red turban shell,358,358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1551,Tom Bird,Carter Burtlake,BMSC8,Baeria Rocks North Island Northside,48.95508,-125.15337,17/04/2026,3,SE,12:35,TB,9,2,2,pmi,Patiria miniata,Bat star,128,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1552,Tom Bird,Carter Burtlake,BMSC8,Baeria Rocks North Island Northside,48.95508,-125.15337,17/04/2026,3,SE,12:35,TB,9,2,2,spur,Strongylocentrotus purpuratus,Purple sea urchin,191,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1553,Tom Bird,Carter Burtlake,BMSC8,Baeria Rocks North Island Northside,48.95508,-125.15337,17/04/2026,3,SE,12:35,TB,9,2,2,ppu,Pachycheles pubescens,Porcelain crab,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1554,Tom Bird,Carter Burtlake,BMSC8,Baeria Rocks North Island Northside,48.95508,-125.15337,17/04/2026,3,SE,12:35,TB,9,2,2,ami,Acmaea mitra,Whitecap limpet,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1555,Tom Bird,Carter Burtlake,BMSC8,Baeria Rocks North Island Northside,48.95508,-125.15337,17/04/2026,3,SE,12:35,TB,9,2,2,phe,Pagurus hemphilli,Maroon hermit,78,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1556,Tom Bird,Carter Burtlake,BMSC8,Baeria Rocks North Island Northside,48.95508,-125.15337,17/04/2026,3,SE,12:35,TB,9,2,2,acal,Apostichopus californicus,Californian sea cucumber,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1557,Tom Bird,Carter Burtlake,BMSC8,Baeria Rocks North Island Northside,48.95508,-125.15337,17/04/2026,3,SE,12:35,TB,9,2,2,cfo,Ceratostoma foliatum,Leafy hornmouth,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558,Tom Bird,Carter Burtlake,BMSC8,Baeria Rocks North Island Northside,48.95508,-125.15337,17/04/2026,3,SE,12:35,TB,9,2,2,gor,Glebocarcinus oregonensis,Pygmy rock crab,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1559,Tom Bird,Carter Burtlake,BMSC8,Baeria Rocks North Island Northside,48.95508,-125.15337,17/04/2026,3,SE,12:35,TB,9,2,2,oko,Orthasterias koehleri,Rainbow star,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1560,Tom Bird,Carter Burtlake,BMSC8,Baeria Rocks North Island Northside,48.95508,-125.15337,17/04/2026,3,SE,12:35,TB,9,2,2,das,Diodora aspera,Rough keyhole limpet,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561,Tom Bird,Carter Burtlake,BMSC8,Baeria Rocks North Island Northside,48.95508,-125.15337,17/04/2026,3,SE,12:35,TB,9,2,2,etr,Evasterias troschelii,Mottled starfish,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1562,Tom Bird,Carter Burtlake,BMSC8,Baeria Rocks North Island Northside,48.95508,-125.15337,17/04/2026,3,SE,12:35,TB,9,2,2,hcr,Hermissenda crassicornis,Opalescent nudibranch,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1563,Tom Bird,Carter Burtlake,BMSC8,Baeria Rocks North Island Northside,48.95508,-125.15337,17/04/2026,3,SE,12:35,TB,9,2,2,poc,Pisaster ochraceus,Purple sea star,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1564,Tom Bird,Carter Burtlake,BMSC8,Baeria Rocks North Island Northside,48.95508,-125.15337,17/04/2026,3,SE,12:35,TB,9,2,2,cpr,Cancer productus,Red rock crab,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1565,Tom Bird,Carter Burtlake,BMSC8,Baeria Rocks North Island Northside,48.95508,-125.15337,17/04/2026,3,SE,12:35,TB,9,2,2,pbe,Pagurus beringanus,Hermit crab,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1566,Tom Bird,Carter Burtlake,BMSC8,Baeria Rocks North Island Northside,48.95508,-125.15337,17/04/2026,3,SE,12:35,TB,9,2,2,cgi,Crassadoma gigantea,Purple-hinged rock scallop,6,0,,,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1567,Tom Bird,Carter Burtlake,BMSC8,Baeria Rocks North Island Northside,48.95508,-125.15337,17/04/2026,3,SE,12:35,TB,9,2,2,hka,Haliotis kamtschatkana,Pinto abalone,11,0,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1568,Tom Bird,Carter Burtlake,BMSC8,Baeria Rocks North Island Northside,48.95508,-125.15337,17/04/2026,3,SE,12:35,TB,9,2,2,aha,Artedius harringtoni,Scalyhead sculpin,1,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1569,Tom Bird,Carter Burtlake,BMSC8,Baeria Rocks North Island Northside,48.95508,-125.15337,17/04/2026,3,SE,12:35,TB,9,1,2,nsf,No species found,No species found,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1570,Tom Bird,Carter Burtlake,BMSC6,Baeria Rocks South Island,48.95023,-125.15554,17/04/2026,5,SW,10:00,CBL,7.5,1,1,hde,Hexagrammos decagrammus,Kelp greenling,4,0,,,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1571,Tom Bird,Carter Burtlake,BMSC6,Baeria Rocks South Island,48.95023,-125.15554,17/04/2026,5,SW,10:00,CBL,7.5,1,1,sme,Sebastes melanops,Black rockfish,4,0,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1572,Tom Bird,Carter Burtlake,BMSC6,Baeria Rocks South Island,48.95023,-125.15554,17/04/2026,5,SW,10:00,CBL,7.5,1,1,oel,Ophiodon elongatus,Lingcod,1,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1573,Tom Bird,Carter Burtlake,BMSC6,Baeria Rocks South Island,48.95023,-125.15554,17/04/2026,5,SW,10:00,CBL,7.5,1,1,rni,Rhinogobiops nicholsii,Blackeye goby,5,0,,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1574,Tom Bird,Carter Burtlake,BMSC6,Baeria Rocks South Island,48.95023,-125.15554,17/04/2026,5,SW,10:00,CBL,7.5,2,1,mfr,Mesocentrotus franciscanus,Red sea urchin,300,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1575,Tom Bird,Carter Burtlake,BMSC6,Baeria Rocks South Island,48.95023,-125.15554,17/04/2026,5,SW,10:00,CBL,7.5,2,1,ami,Acmaea mitra,Whitecap limpet,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1576,Tom Bird,Carter Burtlake,BMSC6,Baeria Rocks South Island,48.95023,-125.15554,17/04/2026,5,SW,10:00,CBL,7.5,2,1,pmi,Patiria miniata,Bat star,164,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1577,Tom Bird,Carter Burtlake,BMSC6,Baeria Rocks South Island,48.95023,-125.15554,17/04/2026,5,SW,10:00,CBL,7.5,2,1,oko,Orthasterias koehleri,Rainbow star,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1578,Tom Bird,Carter Burtlake,BMSC6,Baeria Rocks South Island,48.95023,-125.15554,17/04/2026,5,SW,10:00,CBL,7.5,2,1,phe,Pagurus hemphilli,Maroon hermit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1579,Tom Bird,Carter Burtlake,BMSC6,Baeria Rocks South Island,48.95023,-125.15554,17/04/2026,5,SW,10:00,CBL,7.5,2,1,cfo,Ceratostoma foliatum,Leafy hornmouth,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1580,Tom Bird,Carter Burtlake,BMSC6,Baeria Rocks South Island,48.95023,-125.15554,17/04/2026,5,SW,10:00,CBL,7.5,2,1,acal,Apostichopus californicus,Californian sea cucumber,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1581,Tom Bird,Carter Burtlake,BMSC6,Baeria Rocks South Island,48.95023,-125.15554,17/04/2026,5,SW,10:00,CBL,7.5,2,1,pgi,Pomaulax gibberosus,Red turban shell,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1582,Tom Bird,Carter Burtlake,BMSC6,Baeria Rocks South Island,48.95023,-125.15554,17/04/2026,5,SW,10:00,CBL,7.5,2,1,henricia,Henricia spp.,Unidentified blood star,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1583,Tom Bird,Carter Burtlake,BMSC6,Baeria Rocks South Island,48.95023,-125.15554,17/04/2026,5,SW,10:00,CBL,7.5,2,1,dim,Dermasterias imbricata,Leather star,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1584,Tom Bird,Carter Burtlake,BMSC6,Baeria Rocks South Island,48.95023,-125.15554,17/04/2026,5,SW,10:00,CBL,7.5,2,1,gor,Glebocarcinus oregonensis,Pygmy rock crab,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1585,Tom Bird,Carter Burtlake,BMSC6,Baeria Rocks South Island,48.95023,-125.15554,17/04/2026,5,SW,10:00,CBL,7.5,2,1,ppu,Pachycheles pubescens,Porcelain crab,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586,Tom Bird,Carter Burtlake,BMSC6,Baeria Rocks South Island,48.95023,-125.15554,17/04/2026,5,SW,10:00,CBL,7.5,2,1,etr,Evasterias troschelii,Mottled starfish,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587,Tom Bird,Carter Burtlake,BMSC6,Baeria Rocks South Island,48.95023,-125.15554,17/04/2026,5,SW,10:00,CBL,7.5,2,1,spur,Strongylocentrotus purpuratus,Purple sea urchin,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1588,Tom Bird,Carter Burtlake,BMSC6,Baeria Rocks South Island,48.95023,-125.15554,17/04/2026,5,SW,10:00,CBL,7.5,2,1,sdr,Strongylocentrotus droebachiensis,Northern sea urchin,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1589,Tom Bird,Carter Burtlake,BMSC6,Baeria Rocks South Island,48.95023,-125.15554,17/04/2026,5,SW,10:00,CBL,7.5,2,1,rni,Rhinogobiops nicholsii,Blackeye goby,5,0,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1590,Tom Bird,Carter Burtlake,BMSC6,Baeria Rocks South Island,48.95023,-125.15554,17/04/2026,5,SW,10:00,CBL,7.5,2,1,hka,Haliotis kamtschatkana,Pinto abalone,34,0,,7,19,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1591,Tom Bird,Carter Burtlake,BMSC6,Baeria Rocks South Island,48.95023,-125.15554,17/04/2026,5,SW,10:00,CBL,7.5,2,1,cgi,Crassadoma gigantea,Purple-hinged rock scallop,14,0,,,2,3,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592,Tom Bird,Carter Burtlake,BMSC6,Baeria Rocks South Island,48.95023,-125.15554,17/04/2026,5,SW,10:00,CBL,7.5,2,1,aha,Artedius harringtoni,Scalyhead sculpin,3,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593,Tom Bird,Carter Burtlake,BMSC6,Baeria Rocks South Island,48.95023,-125.15554,17/04/2026,5,SW,10:00,CBL,7.5,2,1,jzo,Jordania zonope,Longfin sculpin,8,0,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1594,Tom Bird,Carter Burtlake,BMSC4,Kii xin,48.81512,-125.17533,17/04/2026,3,NE,15:07,CBL,7.5,1,1,hde,Hexagrammos decagrammus,Kelp greenling,1,0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1595,Tom Bird,Carter Burtlake,BMSC4,Kii xin,48.81512,-125.17533,17/04/2026,3,NE,15:07,CBL,7.5,1,1,ebi,Enophrys bison,Buffalo sculpin,1,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1596,Tom Bird,Carter Burtlake,BMSC4,Kii xin,48.81512,-125.17533,17/04/2026,3,NE,15:07,CBL,7.5,0,1,ebi,Enophrys bison,Buffalo sculpin,1,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1597,Tom Bird,Carter Burtlake,BMSC4,Kii xin,48.81512,-125.17533,17/04/2026,3,NE,15:07,CBL,7.5,2,1,mfr,Mesocentrotus franciscanus,Red sea urchin,220,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1598,Tom Bird,Carter Burtlake,BMSC4,Kii xin,48.81512,-125.17533,17/04/2026,3,NE,15:07,CBL,7.5,2,1,poc,Pisaster ochraceus,Purple sea star,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1599,Tom Bird,Carter Burtlake,BMSC4,Kii xin,48.81512,-125.17533,17/04/2026,3,NE,15:07,CBL,7.5,2,1,cfo,Ceratostoma foliatum,Leafy hornmouth,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600,Tom Bird,Carter Burtlake,BMSC4,Kii xin,48.81512,-125.17533,17/04/2026,3,NE,15:07,CBL,7.5,2,1,ppu,Pachycheles pubescens,Porcelain crab,43,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601,Tom Bird,Carter Burtlake,BMSC4,Kii xin,48.81512,-125.17533,17/04/2026,3,NE,15:07,CBL,7.5,2,1,gor,Glebocarcinus oregonensis,Pygmy rock crab,57,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602,Tom Bird,Carter Burtlake,BMSC4,Kii xin,48.81512,-125.17533,17/04/2026,3,NE,15:07,CBL,7.5,2,1,dim,Dermasterias imbricata,Leather star,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603,Tom Bird,Carter Burtlake,BMSC4,Kii xin,48.81512,-125.17533,17/04/2026,3,NE,15:07,CBL,7.5,2,1,etr,Evasterias troschelii,Mottled starfish,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1604,Tom Bird,Carter Burtlake,BMSC4,Kii xin,48.81512,-125.17533,17/04/2026,3,NE,15:07,CBL,7.5,2,1,spur,Strongylocentrotus purpuratus,Purple sea urchin,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605,Tom Bird,Carter Burtlake,BMSC4,Kii xin,48.81512,-125.17533,17/04/2026,3,NE,15:07,CBL,7.5,2,1,henricia,Henricia spp.,Unidentified blood star,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,Tom Bird,Carter Burtlake,BMSC4,Kii xin,48.81512,-125.17533,17/04/2026,3,NE,15:07,CBL,7.5,2,1,cadlina,Cadlina spp.,Unidentified yellow rimmed,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1607,Tom Bird,Carter Burtlake,BMSC4,Kii xin,48.81512,-125.17533,17/04/2026,3,NE,15:07,CBL,7.5,2,1,acal,Apostichopus californicus,Californian sea cucumber,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1608,Tom Bird,Carter Burtlake,BMSC4,Kii xin,48.81512,-125.17533,17/04/2026,3,NE,15:07,CBL,7.5,2,1,ami,Acmaea mitra,Whitecap limpet,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1609,Tom Bird,Carter Burtlake,BMSC4,Kii xin,48.81512,-125.17533,17/04/2026,3,NE,15:07,CBL,7.5,2,1,oko,Orthasterias koehleri,Rainbow star,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610,Tom Bird,Carter Burtlake,BMSC4,Kii xin,48.81512,-125.17533,17/04/2026,3,NE,15:07,CBL,7.5,2,1,ctr,Coryphella trilineata,Three-lined aeolid,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1611,Tom Bird,Carter Burtlake,BMSC4,Kii xin,48.81512,-125.17533,17/04/2026,3,NE,15:07,CBL,7.5,2,1,afu,Antiopella fusca,White-and-orange-tipped nudibranch,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1612,Tom Bird,Carter Burtlake,BMSC4,Kii xin,48.81512,-125.17533,17/04/2026,3,NE,15:07,CBL,7.5,2,1,ctro,Coryphella trophina,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1613,Tom Bird,Carter Burtlake,BMSC4,Kii xin,48.81512,-125.17533,17/04/2026,3,NE,15:07,CBL,7.5,2,1,phe,Pagurus hemphilli,Maroon hermit,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1614,Tom Bird,Carter Burtlake,BMSC4,Kii xin,48.81512,-125.17533,17/04/2026,3,NE,15:07,CBL,7.5,2,1,cnu,Chirolophis nugator,Mosshead warbonnet,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1615,Tom Bird,Carter Burtlake,BMSC4,Kii xin,48.81512,-125.17533,17/04/2026,3,NE,15:07,CBL,7.5,2,1,hka,Haliotis kamtschatkana,Pinto abalone,21,0,,,7,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
